0.751020408	d
1.608163265	1
1.825215419	1
2.191700680	1.4
2.553038548	b
2.869365079	x
3.389591836	2.3
3.967346938	b
4.991541950	t
5.537210884	3.2
6.090839002	3.3
6.650453514	b
7.203922902	s
8.040816326	1
8.254285714	4.3
8.620408163	4.4
8.946938775	b
9.321768707	d
10.190566893	5.3
10.387800453	5.4
10.734693877	6.1
11.110204081	b
11.428979591	x
11.950634920	6.4
12.510340136	b
13.588730158	t
14.115986394	7.3
14.665600907	7.4
15.178594104	b
15.753083900	s
16.579591836	8.3
16.833900226	8.4
17.198888888	9.1
17.560839002	b
17.892290249	c
19.513378684	b
20.040816326	c
21.089614512	b
22.178934240	t
22.702040816	10.4
23.222199546	11.1
23.780521541	b
24.297256235	t
24.811428571	11.4
25.347369614	12.1
25.898208616	b
26.424489795	d
27.333696145	14.4
27.514671201	12.4
27.853061224	13.1
28.187755102	b
28.555102040	s
29.066938775	13.4
29.657142857	14.1
30.204081632	14.2
30.718095238	b
